index;city;yr;elderly_rate;population;spanish_population;eu_population;non_eu_population;african_population;north_american_population;central_american_population;south_american_population;asian_population;oceanic_population
1;Barcelona;0;19.12;5514880;4902440;156754;39177;134426;14225;42663;128049;96312;796
2;Barcelona;1;19.19;5575203;4899233;170193;42871;141018;15874;50751;146696;107601;912
3;Madrid;0;17.69;6549519;5819629;274278;32865;92897;16610;54378;175850;82121;739
4;Madrid;1;17.86;6641648;5855366;279480;34160;94555;18133;65168;206640;87166;818
5;Valencia;0;18.89;2531188;2305528;99698;16281;33897;2928;8851;40797;22801;296
6;Valencia;1;19.14;2540588;2305963;98276;17329;34641;3307;11055;45525;24069;301
7;Bilbao;0;22.80;1134848;1083034;13697;1436;12237;913;5274;13373;4758;58
8;Bilbao;1;23.07;1137190;1080437;13949;1554;13038;1005;6952;15182;4941;59
9;Mallorca;0;15.72;1166923;934208;132287;7551;33535;2249;5431;38386;12861;392
10;Mallorca;1;15.82;1188220;940684;137645;8021;35678;2417;6203;43181;13927;421
11;Tenerife;0;17.11;1050152;887958;107415;7006;8282;1197;7602;22499;8088;66
12;Tenerife;1;17.35;1067518;892282;113677;7602;8408;1300;9046;26687;8401;69
13;Sevilla;0;16.13;1945236;1877680;25926;3840;11584;2073;5037;12039;6902;92
14;Sevilla;1;16.44;1949639;1878352;26023;4016;11965;2179;6444;13342;7155;99